Animal,Website,Actions,Duplicate Check,Fold,Validation,Dog,Unnamed: 7,Unnamed: 8,Unnamed: 9,Cat,Unnamed: 11,Unnamed: 12,Unnamed: 13
Cat,https://www.youtube.com/shorts/zgrSnNs8VLY,"[(""Movement Disorder"", 0:00-0:05)]",Unique,2.0,V,,,,,,,,
Cat,https://www.youtube.com/watch?v=4yZL6iL97yM,"[(""Movement Disorder"", 0:00-0:08)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/wsPmJEdTyLk,"[(""Standing(bipedal)"", 0:00-0:04)]",Unique,1.0,V,,,,,,,,
Dog,https://www.youtube.com/watch?v=Ba5-izNEG6Q,"[(""Lying"", 0:00-0:05)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=9UZIu9Cntz8,"[(""Sniffing"", 0:18-0:26)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=NWQ7QIdjaXU,"[(""Sniffing"", 0:04-0:07)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/HOXdGN8pMas,"[(""Standing(bipedal)"", 0:01-0:10)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/urcJnm-DsbI,"[(""Standing(bipedal)"", 0:00-0:33)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/kWJd2qN4a2A,"[(""Running"", 0:03-0:09)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=i63d-OlusbM,"[(""Standing(bipedal)"", 0:00-0:36)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=xrjN1cWrYN0,"[(""Sitting"", 1:16-1:20)], [(""Standing(bipedal)"", 1:41-1:47)], [(""Standing(bipedal)"", 2:10-2:32)], [(""Standing(bipedal)"", 2:54-3:37)], [(""Standing(bipedal)"", 3:50-4:05)], [(""Standing(bipedal)"", 4:15-4:16)]",Unique,4.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=ufqrEHQFcaQ,"[(""Lying"", 0:00-0:07)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=g1b5JLosuSk,"[(""Standing(bipedal)"", 0:00-0:40)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/kH4QCvQa2FA,"[(""Standing(bipedal)"", 0:00-0:13)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/M-cgXeXbfjY,"[(""Standing(bipedal)"", 0:00-0:38)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/5un_GuUTmDg,"[(""Running"", 0:00-0:05)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=prw-sGO3AAc,"[(""Coughing"", 0:00-0:04)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=_MLbWgz7y4w,"[(""Coughing"", 0:00-0:16)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=eAvkU1zBGBc,"[(""Coughing"", 0:21-0:31), (""Coughing"", 0:40-0:46)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=Mxm4UOSTCH4,"[(""Movement Disorder"", 0:05-0:14)]",Unique,4.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/WEFI-O8RMGU,"[(""Standing(bipedal)"", 0:00-0:05)]",Unique,2.0,V,,,,,,,,
Cat,https://www.youtube.com/watch?v=vHgh_DVl-TU,"[(""Standing(bipedal)"", 0:03-0:30)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/eijlERY-IS0,"[(""Walking"", 0:04-0:13)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/NnLZYT104d8,"[(""Walking"", 0:03-0:07)]",Unique,2.0,V,,,,,,,,
Cat,https://www.youtube.com/shorts/nojPqDRvSPE,"[(""Standing(on all fours)"", 0:10-0:17)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/MNKPjvmxTrU,"[(""Standing(on all fours)"", 0:00-0:11)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=-xp3toexQRk,"[(""Coughing"", 0:17-0:36), (""Coughing"", 0:39-0:46), (""Coughing"", 0:56-1:08), (""Sitting"", 1:17-1:21)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=DieYcNQK1ts,"[(""Coughing"", 0:39-0:54), (""Coughing"", 1:12-1:18), (""Coughing"", 1:21-1:32), (""Coughing"", 1:35-1:51), (""Lying"", 3:14-3:19) ]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=fucBkD0uSvM,"[(""Coughing"", 0:11-0:26)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/Z0gxjLdgfcE,"[(""Movement Disorder"", 0:00-0:09)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/DiKfLM9oZnQ,"[(""Movement Disorder"", 0:01-0:05)]",Unique,4.0,V,,,,,,,,
Cat,https://www.youtube.com/shorts/02ezGEQPV2M,"[(""Seizures"", 0:00-0:12)]",Unique,1.0,V,,,,,,,,
Dog,https://www.youtube.com/watch?v=PiOJpuoJ2bo,"[(""Lying"", 0:45-0:52)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/YtD2alfS43A,"[(""Sniffing"", 0:00-0:05)]",Unique,4.0,V,,,,,,,,
Dog,https://www.youtube.com/shorts/F68NJA9Hcjc,"[(""Standing(on all fours)"", 0:00-0:05)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/41kysZixTi4,"[(""Running"", 0:06-0:10)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=5to-VpoeIpc,"[(""Standing(on all fours)"", 3:03-3:09)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=Hv3JHhwE0xU,"[(""Sitting"", 1:57-2:04)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=kv3ML8ckmj8,"[(""Sniffing"", 3:29:49-3:29:54), (""Sniffing"", 3:30:02-3:30:10), (""Running"", 3:41:00-3:41:06), (""Standing(on all fours)"", 4:11:42-4:11:47)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=iucW5evsuLE,"[(""Running"", 43:36-43:44)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=roEFIIOozEo,"[(""Standing(bipedal)"", 0:02-0:07), (""Standing(bipedal)"", 00:10-00:16), (""Standing(on all fours)"", 05:52:27-05:52:34)]",Unique,4.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/9il4mwQyrJY,"[(""Running"", 0:02-0:06)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/AwS4amFSoO0,"[(""Walking"", 0:01-0:14)]",Unique,4.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/1b85SvxwDg0,"[(""Walking"", 0:00-0:04), (""Standing(on all fours)"", 0:06-0:17), (""Walking"", 0:19-0:25)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/Wsk41J2l4Fs,"[(""Walking"", 0:00-0:06), (""Walking"", 0:14-0:30)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=UbMPi4N-YEI,"[(""Standing(on all fours)"", 0:00-0:06), (""Walking"", 0:08-0:14), (""Walking"", 0:35-0:56)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=39Vxs-GzpHA,"[(""Walking"", 0:00-0:05), (""Walking"", 0:07-0:12)]",Unique,1.0,V,,,,,,,,
Cat,https://www.youtube.com/watch?v=e5KhJblMsmo,"[(""Walking"", 1:28-1:39), (""Standing(on all fours)"", 1:40-1:44), (""Walking"", 1:59-2:18), (""Walking"", 2:29-2:37)]",Unique,4.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/T_ycTqK66ho,"[(""Running"", 0:00-0:05)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/gKWeUBCcpA4,"[(""Running"", 0:05-0:09)]",Unique,4.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/38vmbqTv9BQ,"[(""Walking"", 0:00-0:15)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=30w8sMSi8vw,"[(""Running"", 0:00-0:09)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/CwcQa5jL90k,"[(""Running"", 0:00-0:04)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/pGiPhlp5b7Y,"[(""Walking"", 0:00-0:13)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/lKdYnq6ztGQ,"[(""Walking"", 0:00-0:05)]",Unique,3.0,V,,,,,,,,
Cat,https://www.youtube.com/shorts/NigexDU3JoE,"[(""Walking"", 0:00-0:15)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=TuKuHCXELIg,"[(""Walking"", 0:00-0:27)]",Unique,4.0,,,,,,,,,
Cat,http://youtube.com/shorts/o_cWUFE4SiA,"[(""Standing(on all fours)"", 0:01-0:14)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/OKpaPU_OBBo,"[(""Standing(on all fours)"", 0:07-0:15)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/43NeUvr0i2I,"[(""Running"", 0:03-0:08), (""Running"", 0:10-0:15), (""Running"", 0:17-0:30)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=MmBleFUkqYM,"[(""Running"", 0:10-0:18)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/PP-VsOuP1KI,"[(""Running"", 0:00-0:13)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/8TnxbOAQbFo,"[(""Running"", 0:00-0:14)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=ZlK1xwIvWF4,"[(""Walking"", 0:00-0:06), (""Walking"", 0:14-0:20)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/0_KUY7QmrOY,"[(""Walking"", 0:00-0:06), (""Walking"", 0:09-0:13), (""Walking"", 0:15-0:24)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=YM_H_ObVICo,"[(""Walking"", 0:00-0:06), (""Walking"", 1:12-1:19), (""Walking"", 2:08-2:14), (""Walking"", 2:17-2:21), (""Walking"", 2:27-2:31), (""Walking"", 2:48-2:59), (""Walking"", 3:10-3:19), (""Walking"", 3:53-4:10)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/U5vSPhQJtzQ,"[(""Running"", 0:01-0:06)]",Unique,4.0,V,,,,,,,,
Dog,https://www.youtube.com/shorts/OIaPwZsostA,"[(""Running"", 0:00-0:22)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=AS4A3j4s3Bg,"[(""Running"", 0:00-0:16)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=uqXAh1e7mO8,"[(""Running"", 0:06-0:11)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=I9-Rdr_eaHk,"[(""Standing(on all fours)"", 0:29-0:38)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/gvC_601vPZw,"[(""Standing(bipedal)"", 0:08-0:19)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/-nBGEQGd70E,"[(""Running"", 0:01-0:10)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/zYKxpVjG-sA,"[(""Running"", 0:05-0:09)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/-8mm3xFztF0,"[(""Running"", 0:00-0:06)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/Vr3GBU0alok,"[(""Running"", 0:08-0:13)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/MqPaQ_veIrg,"[(""Running"", 0:00-0:08)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=fv-VhTBCDVY,"[(""Running"", 2:11-2:16)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=s-kL9Xdj0js,"[(""Running"", 0:03-0:09)]",Unique,3.0,V,,,,,,,,
Dog,https://www.youtube.com/shorts/1Z9HJAnNdDs,"[(""Running"", 0:00-0:10)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=_vbhmmb1WzI,"[(""Running"", 2:49-2:53), (""Running"", 3:00-3:16), (""Running"" 3:22-3:30), (""Standing(on all fours)"", 4:30-4:35), (""Running"" 4:51-4:57), (""Running"" 5:32-5:41), (""Running"" 5:57-6:03)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=xUTUKRz8mBo,"[(""Sniffing"", 0:00-0:05), (""Standing(on all fours)"", 0:08-0:12), (""Sniffing"", 0:13-0:17), (""Walking"", 0:21-0:28), (""Standing(on all fours)"", 0:57-1:04), (""Sniffing"", 1:07-1:15), (""Sniffing"", 1:26-1:30)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/AbiXmaA3H8s,"[(""Sniffing"", 0:01-0:06)]",Unique,5.0,V,,,,,,,,
Cat,https://www.youtube.com/shorts/--XxxuQLyt4,"[(""Sniffing"", 0:03-0:15)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=WWADgI6jESg,"[(""Sniffing"", 0:20-0:27), (""Sniffing"", 1:01-1:11), (""Sniffing"", 1:38-1:54), (""Sniffing"", 1:59-2:11)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=KoNSuz3l0Ow,"[(""Sniffing"", 0:45-0:50)]",Unique,1.0,V,,,,,,,,
Dog,https://www.youtube.com/shorts/7kYaA1Gdei8,"[(""Sniffing"", 0:04-0:08)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=r389F527lBk,"[(""Sniffing"", 0:47-0:59), (""Sniffing"", 1:18-1:40)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/kzV9umCI1SM,"[(""Seizures"", 0:02-0:06), (""Seizures"", 0:08-0:29)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/TcKXvLbW1M4,"[(""Movement Disorder"", 0:06-0:16)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=j2FieWco3Cg,"[(""Seizures"", 0:00-0:12)]",Unique,4.0,V,,,,,,,,
Dog,https://www.youtube.com/watch?v=WxO8zDjSJwA,"[(""Lying"", 0:00-0:05)]",Unique,2.0,V,,,,,,,,
Dog,https://www.youtube.com/watch?v=aV7KARRxvtY,"[(""Seizures"", 0:00-0:13), (""Movement Disorder"", 0:24-0:37)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/IirZY-pySS8,"[(""Seizures"", 0:00-0:12)]",Unique,5.0,V,,,,,,,,
Dog,https://www.youtube.com/shorts/IaHfx-C9-Qc,"[(""Sitting"", 0:02-0:06)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/OkhzPXwyrY8,"[(""Sitting"", 0:04-0:10)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/nuhQCdAJQNs,"[(""Seizures"", 0:00-0:14)], [(""Seizures"", 0:20-0:35)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/DsHmtns8M7c,"[(""Movement Disorder"", 0:00-0:04)]",Unique,2.0,V,,,,,,,,
Dog,https://www.youtube.com/shorts/lu2s0e95_RE,"[(""Movement Disorder"", 0:03-0:12)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=4YvzWR3PxMY,"[(""Seizures"", 0:36-0:58), (""Seizures"", 1:05-1:51)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=xVQTYrqSx6Y,"[(""Seizures"", 0:00-0:08)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/B_QgQpseOfA,"[(""Seizures"", 0:03-0:15)]",Unique,4.0,V,,,,,,,,
Dog,https://www.youtube.com/shorts/TBfO16pqj5U,"[(""Standing(on all fours)"", 0:02-0:12), (""Sitting"", 0:15-0:24), (""Sitting"", 0:29-0:33)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=_A6sYGfqFRI,"[(""Movement Disorder"", 0:06-0:13), (""Movement Disorder"", 0:15-0:20)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/Q3LAFIb-dBc,"[(""Movement Disorder"", 0:00-0:13)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/fzWeYy6DQv0,"[(""Lying"", 0:14-0:20)]",Unique,4.0,V,,,,,,,,
Dog,https://www.youtube.com/shorts/kOJMUA_TRFw,"[(""Seizures"", 0:20-0:34)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=Lf6lrQBk4yQ,"[(""Seizures"", 0:09-0:30), (""Lying"", 0:42-0:52)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=QjsIqTzAss8,"[(""Lying"", 0:42-1:26), (""Lying"", 1:45-2:20), (""Seizures"", 5:38-5:43)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/Hcc_xH-YkFU,"[(""Lying"", 0:00-0:21)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/dvUces3-FNg,"[(""Seizures"", 0:00-0:17)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/jtXINWn588g,"[(""Seizures"", 0:01-0:07)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/llyRuWxL_8I,"[(""Lying"", 0:02-0:07)]",Unique,1.0,V,,,,,,,,
Dog,https://www.youtube.com/shorts/iwiJbx4Htdc,"[(""Seizures"", 0:00-0:14)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/P6SGMLmfP2w,"[(""Standing(on all fours)"", 0:00-0:07)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=ehiT1wvAfSE,"[(""Standing(on all fours)"", 3:35-3:39), (""Sitting"", 3:49-4:02), (""Lying"", 4:13-4:18), (""Lying"", 6:58-7:31)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=Xx_iyMmR-dk,"[(""Seizures"", 2:10-2:37), (""Seizures"", 4:05-4:25)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/8jeAMoKgUcw,"[(""Vomiting"", 0:01-0:12)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/DB13PWbgSgs,"[(""Vomiting"", 0:00-0:10)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/JrR3OcduEi4,"[(""Vomiting"", 0:07-0:14)]",Unique,2.0,V,,,,,,,,
Dog,https://www.youtube.com/watch?v=6NwJyilo7zE,"[(""Sniffing"", 3:18-3:30)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/XouvArHUjc8,"[(""Lying"", 0:00-0:35)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/eyFx1boq_zA,"[(""Vomiting"", 0:00-0:06)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/Up40i-z2xIA,"[(""Standing(on all fours)"", 0:00-0:13), (""Vomiting"", 0:24-0:29)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=Mt7XlxC_-do,"[(""Vomiting"", 0:10-0:18)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=wREPEHaMMsA,"[(""Vomiting"", 1:00-1:10)]",Unique,4.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=JNvZEyGjCgo,"[(""Vomiting"", 1:51-2:01)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=uUHEo9bTHMM,"[(""Vomiting"", 0:00-0:18)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=2BXhejA5N_0,"[(""Standing(on all fours)"", 0:00-0:07), (""Vomiting"", 0:29-0:42)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=_orGFnsKhFk,"[(""Vomiting"", 0:27-0:36)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/WUtVnZgOAY0,"[(""Lying"", 0:01-0:13)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=9HZkTfS7HJ4,"[(""Vomiting"", 0:00-0:15)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/_C8W06se_Ts,"[(""Standing(on all fours)"", 0:00-0:10)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/j7Rdd6dvZJw,"[(""Vomiting"", 0:00-0:05)]",Unique,2.0,V,,,,,,,,
Dog,https://www.youtube.com/watch?v=VNwb82PKREE,"[(""Vomiting"", 0:29-0:35)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=oyffjrm5mNk,"[(""Vomiting"", 0:06-0:10)]",Unique,3.0,V,,,,,,,,
Dog,https://www.youtube.com/shorts/7Fek9CyIX40,"[(""Vomiting"", 0:00-0:05)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=src8fTIRG7c,"[(""Vomiting"", 0:06-0:18)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/8E-nQnbi7Ek,"[(""Vomiting"", 0:00-0:19)]",Unique,4.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=LOvgrL1riVU,"[(""Vomiting"", 0:00-0:30)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/nxA12EAKxdQ,"[(""Vomiting"", 0:02-0:08)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=RMoFdSD49VE,"[(""Vomiting"", 0:00-0:13)], [(""Vomiting"", 0:34-0:38)], [(""Vomiting"", 1:01-1:05)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=d9i_fkO2GBA,"[(""Vomiting"", 0:00-0:09)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=DYNro3_rC60,"[(""Vomiting"", 0:10-0:18)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=srRcVBYp0Zc,"[(""Standing(on all fours)"", 0:02-0:06), (""Vomiting"", 0:16-0:20)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=IdmMPJWW64g,"[(""Vomiting"", 0:06-0:36)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=zMFZSQ9dxjQ,"[(""Vomiting"", 0:00-0:26)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/hjwU9u27npc,"[(""Vomiting"", 0:00-0:20)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=FENWf3UmQEc,"[(""Standing(on all fours)"", 1:03-1:07), (""Vomiting"", 1:57-2:32)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/s5MGDsJy1LI,"[(""Vomiting"", 0:01-0:18)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/MJbMpqxMCZw,"[(""Standing(bipedal)"", 0:00-0:13)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=S_jQa7pcTxc,"[(""Standing(bipedal)"", 0:29-0:34), (""Standing(bipedal)"", 0:36-0:40)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=hyBO7ovAeH4,"[(""Standing(bipedal)"", 0:09-0:17)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/KM6JqQmxkpc,"[(""Standing(bipedal)"", 0:00-0:06)]",Unique,2.0,V,,,,,,,,
Dog,https://www.youtube.com/shorts/FQkbjf_XkrM,"[(""Standing(bipedal)"", 0:21-0:25)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=igySghhyHP8,"[(""Standing(bipedal)"", 0:00-0:22)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/jMuxIq3fntk,"[(""Standing(bipedal)"", 0:01-0:07)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=z_yYsixZ_nw,"[(""Standing(bipedal)"", 0:52-1:09)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/ZctPOye5tgU,"[(""Standing(bipedal)"", 0:00-0:04)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/XeTdfO-3_is,"[(""Standing(bipedal)"", 0:00-0:07)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=-CPAV9nrSEU,"[(""Standing(bipedal)"", 0:01-0:06)]",Unique,2.0,V,,,,,,,,
Dog,https://www.youtube.com/shorts/6g9CRMWVDz0,"[(""Standing(bipedal)"", 0:00-0:13)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/_gANb7xOxWM,"[(""Standing(bipedal)"", 0:00-0:05)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/H-h4GW3US4s,"[(""Standing(bipedal)"", 0:00-0:09)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/yf33SpPMYa4,"[(""Standing(bipedal)"", 0:00-0:11)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/5kjGZzowtsw,"[(""Standing(bipedal)"", 0:01-0:05)]",Unique,5.0,V,,,,,,,,
Dog,https://www.youtube.com/shorts/Rc-JCgn0Y7c,"[(""Standing(bipedal)"", 0:00-0:05)]",Unique,4.0,V,,,,,,,,
Dog,https://www.youtube.com/shorts/SixtSBdoQEI,"[(""Standing(bipedal)"", 0:04-0:11), [(""Standing(bipedal)"", 0:20-0:31)]]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/uMgG-hnxZH8,"[(""Standing(bipedal)"", 0:00-0:07)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/lqhfORPYxlk,"[(""Standing(bipedal)"", 0:00-0:42)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=838aGoL7WW4,"[(""Coughing"", 0:12-0:16), (""Coughing"", 0:20-0:24), (""Coughing"", 0:35-0:48)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/F76na00cnxo,"[(""Coughing"", 0:00-0:26)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/u8qGYVVD2F0,"[(""Coughing"", 0:00-0:04)]",Unique,1.0,V,,,,,,,,
Dog,https://www.youtube.com/shorts/30YSNPfhqfg,"[(""Coughing"", 0:09-0:19)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/5zuGBUeju4w,"[(""Coughing"", 0:00-0:06)]",Unique,4.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/ByRQrZO6d58,"[(""Coughing"", 0:00-0:11)]",Unique,4.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/g62MP6yqTKs,"[(""Coughing"", 0:00-0:04)]",Unique,3.0,V,,,,,,,,
Cat,https://www.youtube.com/shorts/GDqJQPgu36k,"[(""Coughing"", 0:00-0:11)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=WSqwnXyJlcM,"[(""Coughing"", 0:02-0:08)]",Unique,2.0,,,,,,,,,
